Date,Inflation,Unemployment
2015Nov,0.2,10.74
2015Oct,0.1,10.74
2015Sep,-0.1,10.75
2015Aug,0.1,10.81
2015Jul,0.2,10.85
2015Jun,0.2,11.01
2015May,0.3,11.02
2015Apr,0,11.05
2015Mar,-0.1,11.14
2015Feb,-0.3,11.17
2015Jan,-0.6,11.24
2014Dec,-0.2,11.35
2014Nov,0.3,11.5
2014Oct,0.4,11.53
2014Sep,0.3,11.56
2014Aug,0.4,11.57
2014Jul,0.4,11.64
2014Jun,0.5,11.54
2014May,0.5,11.62
2014Apr,0.7,11.67
2014Mar,0.5,11.74
2014Feb,0.7,11.82
2014Jan,0.8,11.88
2013Dec,0.8,11.86
2013Nov,0.9,11.91
2013Oct,0.7,11.94
2013Sep,1.1,12.04
2013Aug,1.3,12.02
2013Jul,1.6,12.04
2013Jun,1.6,12.05
2013May,1.4,12.07
2013Apr,1.2,12.06
2013Mar,1.7,12.05
2013Feb,1.8,12.04
2013Jan,2,12.01
2012Dec,2.2,11.87
2012Nov,2.2,11.79
2012Oct,2.5,11.71
2012Sep,2.6,11.56
2012Aug,2.6,11.49
2012Jul,2.4,11.46
2012Jun,2.4,11.41
2012May,2.4,11.29
2012Apr,2.6,11.21
2012Mar,2.7,11.06
2012Feb,2.7,10.89
2012Jan,2.7,10.74
2011Dec,2.7,10.7
2011Nov,3,10.62
2011Oct,3,10.47
2011Sep,3,10.38
2011Aug,2.5,10.24
2011Jul,2.6,10.15
2011Jun,2.7,10.02
2011May,2.7,9.98
2011Apr,2.8,9.91
2011Mar,2.7,9.96
2011Feb,2.4,9.99
2011Jan,2.3,10.06
2010Dec,2.2,10.11
2010Nov,1.9,10.14
2010Oct,1.9,10.22
2010Sep,1.9,10.2
2010Aug,1.6,10.2
2010Jul,1.7,10.2
2010Jun,1.5,10.23
2010May,1.7,10.28
2010Apr,1.6,10.26
2010Mar,1.6,10.21
2010Feb,0.8,10.2
2010Jan,0.9,10.15
2009Dec,0.9,10.14
2009Nov,0.5,10.1
2009Oct,-0.1,10.05
2009Sep,-0.3,10.02
2009Aug,-0.2,9.9
2009Jul,-0.6,9.81
2009Jun,-0.1,9.68
2009May,0,9.56
2009Apr,0.6,9.46
2009Mar,0.6,9.3
2009Feb,1.2,8.99
2009Jan,1.1,8.68
2008Dec,1.6,8.3
2008Nov,2.1,8.03
2008Oct,3.2,7.82
2008Sep,3.6,7.7
2008Aug,3.8,7.65
2008Jul,4,7.55
2008Jun,4,7.54
2008May,3.7,7.4
2008Apr,3.3,7.36
2008Mar,3.6,7.22
2008Feb,3.3,7.24
2008Jan,3.2,7.26
2007Dec,3.1,7.32
2007Nov,3.1,7.3
2007Oct,2.6,7.37
2007Sep,2.1,7.43
2007Aug,1.7,7.49
2007Jul,1.8,7.54
2007Jun,1.9,7.47
2007May,1.9,7.53
2007Apr,1.9,7.55
2007Mar,1.9,7.63
2007Feb,1.8,7.73
2007Jan,1.8,7.85
2006Dec,1.9,7.91
2006Nov,1.9,8.03
2006Oct,1.6,8.11
2006Sep,1.7,8.19
2006Aug,2.3,8.26
2006Jul,2.4,8.3
2006Jun,2.5,8.35
2006May,2.5,8.48
2006Apr,2.5,8.55
2006Mar,2.2,8.67
2006Feb,2.3,8.76
2006Jan,2.4,8.8
2005Dec,2.2,8.88
2005Nov,2.3,8.94
2005Oct,2.5,9.03
2005Sep,2.6,9.05
2005Aug,2.2,9.05
2005Jul,2.2,9.1
2005Jun,2.1,9.17
2005May,2,9.15
2005Apr,2.1,9.19
2005Mar,2.1,9.15
2005Feb,2.1,9.17
2005Jan,1.9,9.16
2004Dec,2.4,9.22
2004Nov,2.2,9.26
2004Oct,2.4,9.25
2004Sep,2.1,9.26
2004Aug,2.3,9.22
2004Jul,2.3,9.21
2004Jun,2.4,9.21
2004May,2.5,9.25
2004Apr,2,9.25
2004Mar,1.7,9.3
2004Feb,1.6,9.27
2004Jan,1.9,9.21
2003Dec,2,9.15
2003Nov,2.2,9.08
2003Oct,2,9.06
2003Sep,2.2,9.06
2003Aug,2.1,9.02
2003Jul,1.9,9.06
2003Jun,1.9,9.09
2003May,1.8,9.06
2003Apr,2.1,9.03
2003Mar,2.5,9.03
2003Feb,2.4,9
2003Jan,2.1,8.98
2002Dec,2.3,8.93
2002Nov,2.3,8.86
2002Oct,2.3,8.8
2002Sep,2.1,8.76
2002Aug,2.1,8.71
2002Jul,2,8.67
2002Jun,1.9,8.62
2002May,2,8.58
2002Apr,2.3,8.55
2002Mar,2.5,8.48
2002Feb,2.5,8.5
2002Jan,2.6,8.45
2001Dec,2,8.47
2001Nov,2,8.45
2001Oct,2.2,8.42
2001Sep,2.2,8.38
2001Aug,2.3,8.37
2001Jul,2.6,8.35
2001Jun,2.8,8.37
2001May,3.1,8.4
2001Apr,2.7,8.39
2001Mar,2.2,8.41
2001Feb,1.9,8.44
2001Jan,2,8.46
2000Dec,2.5,8.57
2000Nov,2.5,8.63
2000Oct,2.4,8.7
2000Sep,2.5,8.81
2000Aug,2,8.86
2000Jul,2,8.93
2000Jun,2.1,8.99
2000May,1.7,9.05
2000Apr,1.7,9.12
2000Mar,1.9,9.21
2000Feb,1.9,9.3
2000Jan,1.9,9.37
1999Dec,1.7,9.45
1999Nov,1.5,9.52
1999Oct,1.4,9.56
1999Sep,1.2,9.64
1999Aug,1.2,9.7
1999Jul,1.1,9.76
1999Jun,0.9,9.82
1999May,1,9.89
1999Apr,1.1,9.95
1999Mar,1,9.97
1999Feb,0.8,10.02
1999Jan,0.8,10.08
1998Dec,0.8,10.19
1998Nov,0.8,10.25
1998Oct,0.9,10.29
1998Sep,1,10.32
1998Aug,1.1,10.39
1998Jul,1.3,10.45
1998Jun,1.4,10.53
1998May,1.3,10.58
1998Apr,1.4,10.64
1998Mar,1.1,10.62
1998Feb,1.1,10.66
1998Jan,1.1,10.71
1997Dec,1.5,
1997Nov,1.6,
1997Oct,1.5,
1997Sep,1.6,
1997Aug,1.7,
1997Jul,1.5,
1997Jun,1.4,
1997May,1.4,
1997Apr,1.3,
1997Mar,1.6,
1997Feb,1.8,
1997Jan,2,
1996Dec,1.9,
1996Nov,1.9,
1996Oct,2,
1996Sep,2,
1996Aug,2,
1996Jul,2.1,
1996Jun,2.1,
1996May,2.5,
1996Apr,2.4,
1996Mar,2.4,
1996Feb,2.4,
1996Jan,2.4,
1995Dec,2.4,
1995Nov,2.4,
1995Oct,2.4,
1995Sep,2.4,
1995Aug,2.3,
1995Jul,2.4,
1995Jun,2.6,
1995May,2.4,
1995Apr,2.6,
1995Mar,2.5,
1995Feb,2.4,
1995Jan,2.4,
1994Dec,2.6,
1994Nov,2.5,
1994Oct,2.6,
1994Sep,2.7,
1994Aug,2.7,
1994Jul,2.6,
1994Jun,2.7,
1994May,2.8,
1994Apr,2.7,
1994Mar,2.8,
1994Feb,2.9,
1994Jan,2.9,
1993Dec,3.2,
1993Nov,3.2,
1993Oct,3.3,
1993Sep,3.3,
1993Aug,3.3,
1993Jul,3.3,
1993Jun,3.1,
1993May,3.1,
1993Apr,3.2,
1993Mar,3.2,
1993Feb,3.4,
1993Jan,3.4,
1992Dec,3.2,
1992Nov,3.1,
1992Oct,3.2,
1992Sep,3.3,
1992Aug,3.3,
1992Jul,3.3,
1992Jun,3.9,
1992May,4,
1992Apr,4.2,
1992Mar,4.3,
1992Feb,3.8,
1992Jan,3.9,
1991Dec,4.1,
1991Nov,4.1,
1991Oct,3.7,
1991Sep,3.9,
1991Aug,4.5,
1991Jul,5,
1991Jun,4.3,
1991May,4.1,
1991Apr,3.8,
1991Mar,3.9,
1991Feb,4.1,
1991Jan,3.9,
