"pwt6.0,6.1",pwt5.6,code,,country,,bm96,bm90,bm85,bm80,bm75,bm70,Regional
order,order,(ISO),,,,,,"(1=yes, blank=no)",,,,Code

1,2,AGO,,Angola,, ,,,,,,4
2,0,ALB,,Albania,,1,,,,,,14
3,73,ARG,,Argentina,,1,, ,1, , ,7
4,0,ARM,,Armenia,,1,,,,,,9
5,0,ATG,,Antigua,,1,,,,,,8
6,145,AUS,,Australia,,1,1,1,,,,15
7,116,AUT,,Austria,,1,1,1,1,1,,14
8,0,AZE,,Azerbaijan,,1,,,,,,9
9,6,BDI,,Burundi,, ,,,,,,2
10,117,BEL,,Belgium,,1,1,1,1,1,1,14
11,3,BEN,,Benin,,1,,1,,,,1
12,5,BFA,,Burkina Faso,, ,,,,,,1
13,86,BGD,,Bangladesh,,1,,1,,,,12
14,118,BGR,,Bulgaria,,1,,,,,,14
15,85,BHR,,Bahrain,,1,,,,,,5
16,51,BHS,,Bahamas ,,1,,1,,,,8
17,0,BLR,,Belarus,,1,,,,,,13
18,53,BLZ,,Belize  ,,1,,,,,,8
19,0,BMU,,Bermuda  ,,1,,,,,,8
20,74,BOL,,Bolivia,,1,,,1,,,7
21,75,BRA,,Brazil,,1,,,1,1,,7
22,52,BRB,,Barbados  ,,1,,1,,,,8
23,87,BTN,,Bhutan,, ,,,,,,12
24,4,BWA,,Botswana,,1,,1,1,,,4
25,9,CAF,,Central African Republic,, ,, , ,,,2
26,54,CAN,,Canada,,1,1,1,1,,,6
27,140,CHE,,Switzerland,,1,1,,,,,14
28,76,CHL,,Chile,,1,,,1,,,7
29,88,CHN,,China,, ,,,,,,10
30,21,CIV,,Cote d'Ivoire,,1, ,1,1,,,1
31,7,CMR,,Cameroon,,1,,1,1,,,1
32,12,COG,,"Congo, Republic of",,1,,1,,,,2
33,77,COL,,Colombia,, ,,,1,1,1,7
34,11,COM,,Comoros,, ,,,,,,3
35,8,CPV,,Cape Verde,, ,,,,,,1
36,55,CRI,,Costa Rica,, ,,,1,,,6
37,0,CUB,,Cuba,,,,,,,,8
38,119,CYP,,Cyprus,, ,,,,,,13
39,0,CZE,,Czech Republic,,1,,,,,,14
40,13,DJI,,Djibouti,, ,,,,,,3
41,56,DMA,,Dominica  ,,1,,,,,,8
42,121,DNK,,Denmark,,1,1,1,1,1,,14
43,57,DOM,,Dominican Republic,, , , ,1, ,,8
44,1,DZA,,Algeria,, ,,,,,,5
45,78,ECU,,Ecuador,,1,,,1,,,7
46,14,EGY,,Egypt,,1,,1,,,,5
47,0,ERI,,Eritrea,, ,,,,,,3
48,138,ESP,,Spain,,1,1,1,1,1,,14
49,0,EST,,Estonia,,1,,,,,,14
50,15,ETH,,Ethiopia,, ,,1,1,,,3
51,122,FIN,,Finland,,1,1,1,1,,,14
52,146,FJI,,Fiji,,1,,,,,,15
53,123,FRA,,France,,1,1,1,1,1,1,14
54,16,GAB,,Gabon,,1,,,,,,1
55,142,GBR,,United Kingdom,,1,1,1,1,1,1,14
56,0,GEO,,Georgia,,1,,,,,,9
57,0,GER,,Germany,,1, , , , , ,14
58,18,GHA,,Ghana,, ,,,,,,1
59,19,GIN,,Guinea,,1,,,,,,1
60,17,GMB,,"Gambia, The",, ,,,,,,1
61,20,GNB,,Guinea-Bissau,, ,,,,,,1
62,0,GNQ,,Equatorial Guinea,, ,,,,,,1
63,126,GRC,,Greece,,1,1,1,1,,,14
64,59,GRD,,Grenada  ,,1,,1,,,,8
65,60,GTM,,Guatemala,, ,,,1,,,6
66,79,GUY,,Guyana,, ,,,,,,7
67,89,HKG,,Hong Kong,,1, ,1,1,,,10
68,62,HND,,Honduras,, ,,,1,,,6
69,0,HRV,,Croatia,,1,,,,,,14
70,61,HTI,,Haiti,, ,,,,,,8
71,127,HUN,,Hungary,,1,,1,1,1,1,14
72,91,IDN,,Indonesia,,1,,,1,,,11
73,90,IND,,India,, ,,1,1,1,1,12
74,129,IRL,,Ireland,,1,1,1,1,1,,14
75,92,IRN,,Iran,,1,,1,,1,1,12
76,128,ISL,,Iceland,,1,1,,,,,14
77,94,ISR,,Israel,,1,,,1,,,5
78,130,ITA,,Italy,,1,1,1,1,1,1,14
79,63,JAM,,Jamaica  ,,1,,1,,1,,8
80,96,JOR,,Jordan,,1,,,,,,5
81,95,JPN,,Japan,,1,1,1,1,1,1,10
82,0,KAZ,,Kazakhstan,,1,,,,,,9
83,22,KEN,,Kenya,,1,,1,1,1,1,3
84,0,KGZ,,Kyrgyzstan,,1,,,,,,9
85,0,KHM,,Cambodia,, ,,,,,,11
86,68,KNA,,St. Kitts & Nevis ,,1,,,,,,8
87,97,KOR,,"Korea, Republic of",,1,,1,1,1,1,10
88,98,KWT,,Kuwait,, ,,,,,,5
89,99,LAO,,Laos,, ,,,,,,11
90,0,LBN,,Lebanon,,1,,,,,,5
91,69,LCA,,St. Lucia ,,1,,1,,,,8
92,110,LKA,,Sri Lanka,,1,,1,1,1,,12
93,23,LSO,,Lesotho,, ,,,,,,4
94,0,LTU,,Lithuania,,1,,,,,,14
95,131,LUX,,Luxembourg,,1,1,1,1,1,,14
96,0,LVA,,Latvia,,1,,,,,,14
97,0,MAC,,Macao,, ,,,,,,10
98,30,MAR,,Morocco,,1,,1,1,,,5
99,0,MDA,,Moldova,,1,,,,,,14
100,25,MDG,,Madagascar,,1,,1,1,,,3
101,64,MEX,,Mexico,,1,, ,1,1,,6
102,0,MKD,,Macedonia,,1,,, , ,,14
103,27,MLI,,Mali,,1,,1,1,,,1
104,132,MLT,,Malta,, ,,,,,,14
105,101,MNG,,Mongolia,,1,,,,,,10
106,31,MOZ,,Mozambique,, ,,,,,,4
107,28,MRT,,Mauritania,, ,,,,,,1
108,29,MUS,,Mauritius,,1,,1,,,,3
109,26,MWI,,Malawi,,1,,1,1,1,,2
110,100,MYS,,Malaysia,, ,,,,1,1,11
111,32,NAM,,Namibia,, ,,,,,,4
112,33,NER,,Niger,, ,,,,,,1
113,34,NGA,,Nigeria,,1,,1,1,,,1
114,65,NIC,,Nicaragua,, ,,,,,,6
115,133,NLD,,Netherlands,,1,1,1,1,1,1,14
116,134,NOR,,Norway,,1,1,1,1,,,14
117,103,NPL,,Nepal,,1,,1,,,,12
118,147,NZL,,New Zealand,,1,1,1,,,,15
119,104,OMN,,Oman,,1,,,,,,5
120,105,PAK,,Pakistan,,1,,1,1,1,,12
121,66,PAN,,Panama,,1,, ,1,,,6
122,81,PER,,Peru,,1,, ,1,,,7
123,106,PHL,,Philippines,,1,,1,1,1,1,11
124,148,PNG,,Papua New Guinea,, ,,,,,,15
125,135,POL,,Poland,,1,,1,1,1, ,14
126,67,PRI,,Puerto Rico,,,,,,,,8
127,136,PRT,,Portugal,,1,1,1,1,,,14
128,80,PRY,,Paraguay,, ,,,1,,,7
129,107,QAT,,Qatar,,1,,,,,,5
130,137,ROM,,Romania,,1,,,,1,,13
131,143,RUS,,Russia,,1,,,,,,13
132,36,RWA,,Rwanda,, ,,1,,,,2
133,108,SAU,,Saudi Arabia,, ,,,,,,5
134,42,SDN,,Sudan,,,,,,,,5
135,37,SEN,,Senegal,,1,,1,1,,,1
136,109,SGP,,Singapore,,1,,,,,,11
137,39,SLE,,Sierra Leone,,1,,1,,,,1
138,58,SLV,,El Salvador,, ,,,1,,,6
139,0,STP,,Sao Tome and Principe,, ,,,,,,1
140,0,SVK,,Slovak Republic,,1,,,,,,14
141,0,SVN,,Slovenia,,1,,,,,,14
142,139,SWE,,Sweden,,1,1,1,,,,14
143,43,SWZ,,Swaziland,,1,,1,,,,4
144,38,SYC,,Seychelles,, ,,,,,,3
145,111,SYR,,Syria,,1,,,,1,,5
146,10,TCD,,Chad,, ,,,,,,2
147,45,TGO,,Togo,, ,,,,,,1
148,113,THA,,Thailand,,1,,1,,1,,11
149,0,TJK,,Tajikistan,,1,,,,,,9
150,0,TKM,,Turkmenistan,,1,,,,,,9
151,71,TTO,,Trinidad &Tobago ,,1,,1,,,,8
152,46,TUN,,Tunisia,,1,,1,1,,,5
153,141,TUR,,Turkey,,1,1,1,,,,9
154,112,TWN,,Taiwan,, ,,,,,,10
155,44,TZA,,Tanzania,,1,,1,1,,,3
156,47,UGA,,Uganda,, ,,,,,,3
157,0,UKR,,Ukraine,,1,,,,,,13
158,83,URY,,Uruguay,,1,,,1,1,,7
159,72,USA,,USA,,1,1,1,1,1,1,6
160,0,UZB,,Uzbekistan,,1,,,,,,9
161,70,VCT,,St.Vincent & Grenadines ,,1,,,,,,8
162,84,VEN,,Venezuela,,1,,,1,,,7
163,0,VNM,,Vietnam,,1,,,,,,11
164,115,YEM,,Yemen,,1,,,,,,5
165,41,ZAF,,South Africa,, ,,,,,,4
166,48,ZAR,,"Congo, Dem. Rep. ",, ,,,,,,2
167,49,ZMB,,Zambia,,1,,1,1,1,,2
168,50,ZWE,,Zimbabwe,,1,,1,1,,,4

0,24,LBR,,Liberia,,,,,,,,1
0,35,REU,,Reunion,,,,,,,,3
0,40,SOM ,,Somalia,,,,,,,,3
0,114,ARE,,United Arab Emirates,,,,,,,,5
0,93,IRQ,,Iraq,,,,,,,,5
0,82,SUR,,Suriname,,,,1,,,,7
0,102,BUR,,Myanmar,,,,,,,,11
0,120,CSK,,Czechoslovakia,,,,,,,,14
0,124,DDR,,"Germany, East",,,,,,,,14
0,125,DEU,,"Germany, West",, ,1,1,1,1,1,14
0,144,YUG,,Yugoslavia,,,,1,1,1,,14
